Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Bwd IAT Total,SYN Flag Count,ACK Flag Count,Label
22,1650867.6718933857,7295,1050,488908.64099150035,191959.50772288634,1238.8319855931313,81.59787819149753,227.2053300545777,509.53879751824326,59.498218503668646,113.07531520799188,178894.543693092,11329.894545996387,9.827878001594627,3.337000404145807,12.967895506728823,0.09903128954043143,875742.1198232801,439367.05618974555,477,120,DDoS
8080,57959215.885786146,276,103,2102.7180942833274,2727.9188694277354,1170.814201650476,82.48212024923316,492.2845340887401,1480.4829520756928,0.2246109580507305,306.1092568415608,3586.075080339305,856.0100932450376,6.063388502366701,1.0687167854046482,25.942260591570335,0.6716295867944855,972394.1564510827,343387.8520373609,19,48,BENIGN
22,1170212.6678302365,2043,4008,191700.73676548165,216767.21691525137,965.3074691616356,55.326740306694845,173.21998468214113,492.8523018745677,79.13073087770127,168.87085194198812,465144.73244187183,17527.60665334323,5.746462343483555,0.35958676714732907,61.487107295442975,0.3075939183477692,177051.08707422583,172295.93623093,117,166,DDoS
53,1087155.9113645474,4315,2383,132559.79359361314,87898.44435252962,729.3224119415469,63.26282681859027,205.0235937392701,355.3165220192837,30.852073871223386,140.09810975358494,439389.9027715091,48260.02348828106,0.5535436101171435,4.505745409008544,56.05010712382283,0.5128873115956789,378467.81437590567,65060.048482397186,453,93,DDoS
80,7298958.431523431,14,119,1362.144687676866,4651.71382454807,617.3887285828544,86.67506982542955,759.8591572865528,1046.5595046529816,60.03430190277855,334.14123994613357,4831.036433975072,890.8769781478862,9.305247466305383,4.499412580529434,64.57542865502253,0.4945337051580485,208729.27453819604,363872.65815963154,3,43,BENIGN
80,1744124.1287005253,4821,2319,290438.1640704644,127863.65871396055,1124.299939593469,19.04816279043181,107.28419599421764,209.62872554470889,90.16274907507774,94.65206508690689,173580.2132346521,20969.035858597694,9.466034094813322,3.09014665218897,69.14214730280656,0.2587001580359511,811070.2618981432,352873.65988975007,164,160,DDoS
22,38471814.10990854,315,243,5408.388773579063,4005.520474989678,1348.3713675940455,67.63598709079741,442.1753836950528,202.1548767256234,73.6723283172035,133.25886227101626,2213.02000540069,113.51571548178234,4.662279381845682,0.21089843230596708,10.896642680508316,0.4350461263927946,523301.07262289134,473059.23184925853,15,31,BENIGN
443,17859292.65353262,85,222,4703.6963068419045,2838.383185767773,883.7261062139519,60.06207325309266,632.2094684064064,1384.2983344881736,32.799857893325246,309.33690412323887,2405.672665773731,401.75049096238536,7.428379575920613,4.786094162333832,74.19685703922426,0.7170424483104223,749780.4528783675,222475.74084925535,10,33,BENIGN
22,30170635.855122663,454,133,2478.172790888658,1670.3759709648216,758.1793993445796,7.9406149099559675,655.9940248544606,507.1748111594152,85.48083447471483,283.6741026045846,5800.694587549809,688.6541813138222,5.077559394781759,1.8943918949058605,77.89367821886037,0.23320582889992736,823523.2743495264,343010.86201014655,13,45,BENIGN
443,42805013.72649519,389,16,8199.756862401537,1678.5785793413352,765.3276682544865,70.04249423492742,509.34145154984407,177.62059241030002,45.27800777234273,143.8043663169227,4142.597366035825,241.03194208217374,4.618032335650237,2.2137978719763667,97.48353543055612,0.37923291170673273,165671.68744465988,355114.9123276924,11,24,BENIGN
8080,4240935.80706199,42,199,3108.509495895324,1343.01874805547,832.0809333264378,72.36850523050697,374.7357773069873,911.6190128831282,28.722008702889944,367.93469242297857,2876.4023057173818,158.02017167930546,7.88292928073321,0.6473072274089195,70.87799550780292,0.26082576768266974,903098.5439291614,136747.16930116984,8,15,BENIGN
53,45095113.83611432,255,245,3564.8449450552343,1021.4938741296562,1492.815507645515,12.81854283156606,329.00536288386365,701.4985902139036,34.790167477561255,320.5446795556596,8141.624066150286,151.3800009621877,9.180515953844392,4.709017814516198,64.38187585774384,0.66305742605422,396183.8711463108,186882.56434447606,10,31,BENIGN
