Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Bwd IAT Total,SYN Flag Count,ACK Flag Count,Label
22,1212063.4797805012,4363,2322,233908.27058280373,60669.52824585414,766.0468697932861,70.59417320787846,289.40614838417764,394.47660494742865,13.37550210075319,143.1027981300836,188012.43724317307,45985.67909001769,4.309769238376993,0.34525913211467996,74.02027345980709,0.31472248463559716,612411.4287025904,139935.73216511577,270,52,DDoS
8080,50925357.627188556,65,21,5045.887707491609,916.116425345342,1335.5444888274808,44.82972339045189,472.8734162543392,1080.093277971443,53.041500022244506,265.77287825872827,1138.4388733236744,127.09433001614946,6.703051614627453,1.4681977472127778,36.299547015930486,0.7827734387122807,409076.8757995888,113434.13607123887,5,10,BENIGN
80,1104410.0359236512,3185,2341,188065.4451736273,135491.59704987897,1227.3068146557284,41.67573321331719,206.86128761161564,328.0216456964097,86.16537529177378,153.63592238664023,158797.1611791893,11987.238790536647,7.3285698987591825,3.4498870920302203,26.965339874563444,0.7320552309124507,204519.02324797312,313293.7730518299,253,174,DDoS
22,1984271.22669312,8810,1201,479827.3458006779,198997.89159815735,481.384963928467,99.7636015834103,492.52536424632535,442.4239730723644,46.62892433102995,194.2975893272301,448694.7647503042,28679.67779309414,1.0060996990523143,0.15829776778330334,32.36955030830596,0.8131710161962578,740965.524696032,432368.5658310187,187,198,DDoS
8080,54807374.52545111,201,247,6669.8231770860675,4798.107190324408,239.92101326018994,9.496339225128015,378.2809511905462,449.3280206624573,27.191520976598405,238.8579290404737,6051.715379799417,992.9065591115456,1.2611139513607976,1.7828760727075446,21.337689662162738,0.8362371152060285,552013.2978082875,449259.1520598344,10,5,BENIGN
53,1195423.2587352053,3066,3417,186593.63449121825,50226.136823588364,217.6768748958014,34.72095168205338,200.72642573787238,1304.0301410293907,7.421448631758798,117.6255210501272,132736.6978538652,35052.30573978858,6.9015703057417115,2.898065275517723,59.63094855486421,0.5645054058649499,917246.2039386596,270421.71456745046,253,96,DDoS
8080,2364353.0374629255,401,88,2224.264664186351,4374.339548843132,1211.2614379047318,30.9431998170009,487.4610844624513,700.0638173571969,13.154393939889243,364.7369624395831,3491.575702859056,989.0419747562865,9.84497660290601,1.7557428873078007,70.38802104136336,0.8571558326784012,455923.973421879,130252.5747187614,4,33,BENIGN
443,58174960.112034686,277,102,5663.495486204605,4362.596227316131,634.9822186697845,72.18663413744736,758.5726078533442,338.6530607592722,75.11734877090736,151.440863970685,5555.222726134608,103.22065176632172,5.01754105375035,2.6775469831792074,55.70104850819368,0.12169462892875435,688571.8099528211,462933.4833233417,19,34,BENIGN
443,13572872.465155875,431,79,8121.140042290876,3920.142465633509,1074.6956474490294,9.990667674121756,388.82857796504146,909.7199531393024,44.84202603121747,364.2389265448856,7966.495199374249,394.74823995019364,0.9829773369500793,0.612237639224063,69.20094395255899,0.9361486610173575,868497.189638758,304712.85672300885,2,18,BENIGN
22,7203155.335638371,475,155,1864.5392961536002,3838.490608210868,1020.0373586744473,83.48088360147138,739.8953204106862,1175.6880991725063,0.688296222400897,110.60128638722311,4330.011876306284,359.4482223597092,8.276339873914148,2.7426978184337836,27.85848548603348,0.8658309919587585,816961.7221660893,56968.51476516538,19,24,BENIGN
8080,1331682.5953658272,5964,1455,167493.27824665268,178578.6841859357,626.8584040734429,33.691727106558766,214.4365630837841,681.6301937502523,97.33045265648474,182.43303581710956,107079.91162542632,41411.19939690427,5.973167172655183,3.690253064246838,33.82516292080762,0.8970475611273646,665138.6857215075,342603.2236032901,178,192,DDoS
80,31086100.330426183,137,130,1010.6774011445661,4947.049224617115,1237.1689409379605,93.09473576747916,305.0542611909084,432.68590413140447,93.29453635681212,343.05765417575026,7072.493173118369,525.6173049148451,9.485093917979636,1.4906079572013575,82.52583939363203,0.5101960633956604,581927.3847279229,281735.7811891854,9,6,BENIGN
22,42255410.6186959,447,186,3221.915756573212,4664.4201785505375,420.26914437459334,34.73134446454562,650.9357778008854,271.90016399334945,39.42937417366627,170.8035743862735,8784.829874192057,653.4978792582801,6.036446830605269,0.3016268094428889,22.239147956091244,0.7786962699921275,400602.9669053231,417132.4279815337,1,40,BENIGN
443,933235.5306005817,6712,1661,168195.35002171894,50471.98400954214,1480.9132587738166,79.28981091557529,479.38287933630545,800.085752755749,51.94698750686661,161.69199341104527,211910.36610222043,33343.06625120699,6.006647060135725,4.909427771509134,59.23339551879148,0.29583918155400024,653394.1043141689,132749.47353693534,397,188,DDoS
443,58393066.356000826,412,153,8115.035332114668,3753.490513424942,322.17610876674667,90.5554909810823,383.0698960227735,1002.5467782778885,8.586753235587075,331.5551427145926,4105.489335054606,154.42487056631026,2.053129861713173,0.25559031272123034,24.36268523095607,0.1713246176403911,506217.63569138345,174414.2746111523,18,29,BENIGN
53,8828083.788415093,112,205,7029.0502064380335,3758.4247221541527,216.34927682387394,61.230393953920355,514.8534944601377,845.0088980670404,40.029438787472515,377.0491782197252,8642.593056177693,482.9951134856316,2.6023537038213505,3.9601323037590155,66.54946757936892,0.16112036816234734,223603.6765817856,482249.772054405,3,41,BENIGN
53,54024106.345303446,145,73,9012.698502294941,2114.515129251642,1208.3363817858642,25.123859208502353,727.8067142644335,1201.4253963449341,51.74697052138072,265.78888525592333,1404.3693804570662,939.4368768815751,3.5941124147314047,1.4161868922448553,78.72735920226704,0.5643979139218078,627677.8261542344,441497.6206839597,6,50,BENIGN
443,1255070.0437733089,5445,1310,103113.83312318783,122665.29145483165,242.88581630684115,30.407768785255485,489.11254124889456,1260.2673794058442,98.81340405804562,169.9675228295562,270127.10099104233,16220.247657307838,8.354943629318964,3.214531720587215,71.77485107781523,0.3696707102957473,718216.9173394467,339301.1038622111,286,141,DDoS
