Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Bwd IAT Total,SYN Flag Count,ACK Flag Count,Label
53,35921981.39630902,233,46,8165.044000374086,2513.0440408228683,855.3285357173128,17.5425546702771,364.6745918034113,1252.431845100965,52.225958362277666,127.35900997459004,8928.802332950694,262.08516455785553,0.6091648108149021,0.5053995418839439,70.20616448473625,0.6056517539569588,717712.7915982092,233284.46097061603,12,39,BENIGN
443,4666564.031616427,436,141,8960.47686010797,3713.0295219076547,1299.9185579107075,97.56580400213278,227.72235603364737,977.645674251962,35.43820035096825,327.2304668044454,4913.447701950484,716.933470138826,6.750740805823877,2.566720780782931,98.36862463047561,0.5666618180258033,371781.67894008546,266232.553843515,8,33,BENIGN
443,26058700.790874775,393,248,8931.57561611406,3699.4285937387863,934.723455131116,68.56423137204631,352.76040168860874,1216.042515744398,26.873244020477493,244.26420125256132,7435.352199028955,331.11960107330606,1.7655163350539398,4.577742879012985,11.554603088941924,0.9933877898324834,324831.8909433578,167279.9401358007,10,12,BENIGN
80,9076285.592265483,419,111,2732.384530011649,1446.9762610438506,991.6029467520566,38.689973458226234,318.6647459465354,181.3260927871588,71.06292865749438,381.89289312238606,3295.389078090621,510.9723673227421,1.0244683164069213,4.471119289256422,78.36947068201164,0.5966169348786876,824813.6284784833,260599.34713853983,1,11,BENIGN
22,20778273.70574966,27,235,2466.995913251235,3811.2496981665468,490.53307024667095,36.604740517511594,606.2833222585845,1321.803769718839,23.66367376497741,384.38123742533725,5615.918756170236,738.1892896556835,4.703701844341279,0.3974767067583401,70.89810036863213,0.7437912259986595,238994.23203519697,321938.8356429044,17,44,BENIGN
53,1551607.5395448133,2978,2389,339409.6374115242,86951.48033993531,605.9129424106616,34.15962003759099,253.89179413250878,371.28780832132213,41.60925164496805,188.47077780100565,337989.8599526414,13898.812262699657,5.487112505057681,2.4009684191760505,89.60853748272389,0.9594314314174957,437060.2124540035,153286.1425549109,428,152,DDoS
8080,27935193.696067277,32,247,9343.953160365309,2159.4358509200238,1107.4623610926592,88.84817983713997,629.1274938382692,170.98552922555032,63.54208387827705,361.9140547144459,9979.550666021412,662.3348335686807,9.004984806357994,3.628961148413487,46.190304752125535,0.29044882899241986,712663.8912509439,458643.57066989504,0,14,BENIGN
22,1444869.2871276427,9682,3551,329121.572103621,232563.73203295964,1070.803384288817,93.22706189982753,459.7690763469934,327.33392869939547,95.15723483277188,112.2088615793244,378684.32716168335,42435.58173297337,4.945576574942902,1.0825618802399617,16.9310611198699,0.6779982661272589,942647.7848192172,99570.82001727549,262,70,DDoS
80,180909.1808759435,3100,2912,478058.17768673,208823.3667596188,472.51390571939163,10.678192538854514,154.01872024285456,562.3061022788959,16.809356606719984,124.70690500347442,124306.28597766416,48527.216186147045,0.6177215389145128,3.588162579326171,85.29354483514116,0.6370639894521741,261856.8453708699,51090.03539630853,271,137,DDoS
443,37886532.47088445,421,179,2798.2743362635247,3860.9626381928488,333.42212755716884,65.94070102242341,286.32083540397934,1094.6597218657043,68.58388601480372,119.10933920968355,4872.228782003233,474.881797132013,6.914217209412351,0.28098737007868446,73.73373959760019,0.6218989769197701,242433.52810980804,387640.93949553237,13,34,BENIGN
80,34985198.54598723,15,175,7889.91164207362,1940.7753295340653,511.5286389560283,5.102286992448379,208.48698420499122,636.4611264118984,76.66366047220097,368.5799800885714,3620.4748029102543,443.0395366345967,6.870227985800937,3.301606222693871,60.57363556773527,0.2158049801246466,596536.8575488238,475788.0733465446,9,43,BENIGN
443,53787938.5905032,292,151,9475.992267651405,4242.750805640799,295.69796412201396,93.13453677564677,316.73690875188333,1110.0383604430765,20.955039172766053,140.82168136862833,5521.623644019976,788.5462966108274,4.024686817169354,3.4295296533507336,88.28823166967393,0.41265160470231005,397414.34338171204,312771.16295799613,20,33,BENIGN
443,1458964.9418911564,3546,1304,111003.5883934403,193775.4452232194,963.7980665106418,60.169722907990284,428.45785820212166,606.878341376882,5.766778536621853,131.10282635308297,391745.0561924552,38809.08395450015,6.575391410478594,0.7619122774524022,71.53751717177117,0.269861810117731,870480.5121509165,219985.28641388612,431,123,DDoS
22,30520198.894321274,241,112,4670.048648581909,808.2526613226023,457.0967619981676,2.4297681947870853,737.4560254515466,405.7874894845443,28.05528550838656,157.52184934869337,2791.0248973034754,186.78975242306228,2.735103951449999,2.877914779947097,58.430225797929744,0.9519288393734733,862618.2291557644,358020.10320231284,5,47,BENIGN
443,941747.3173265865,1036,3448,255718.96751933423,110363.96524881187,1440.014433990815,39.266247354011796,248.33056057254345,447.47570497833595,65.98222405345562,66.40007447711446,369938.8155675747,17633.72692736888,4.068732818239529,4.283612485789503,93.80339609090396,0.6596303349048358,678766.14525239,157812.23869362142,271,110,DDoS
443,20796275.189880427,452,85,7499.316186249132,3601.6532254287886,886.8440476134089,19.981378121210724,622.8480803750235,846.9991471764772,21.61811751058599,317.20838593990266,9949.485624962486,588.7533605985062,2.25015669257015,3.1170169173442512,98.26248231531355,0.09148581211772606,459731.77624740504,493752.6781019512,7,42,BENIGN
443,1313809.4859836304,9648,2183,410036.85638266563,205961.3488928829,976.5387535691347,91.50330146636328,194.92877563581698,463.6357725606463,10.090757955048302,68.09433800213174,466854.6772993366,32511.794001118662,3.222205014684944,2.8827425668954194,46.97052436164487,0.2364216154122669,841760.431730812,271016.14347722684,343,164,DDoS
