Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Bwd IAT Total,SYN Flag Count,ACK Flag Count,Label
80,31710995.572417468,145,223,7302.676700112934,4945.480737063611,1196.6170661245842,82.60112474159226,536.7513809988297,876.3050626591472,96.75216328817243,221.15023402000344,3952.534905525158,628.3238085057014,3.7077894678950916,3.3008440685256515,30.741703700052437,0.5515124643075776,802626.5049648428,313238.587888146,19,18,BENIGN
80,514636.70600746846,5120,3142,441276.55710103083,154652.54345039336,269.2803686468319,68.48768478374596,220.79227709202533,576.0291240073469,48.08868288797106,101.56681233555027,245340.84218597316,13127.727342476976,4.035329875642139,2.8450722707883984,59.5780525057311,0.2916638995408289,675761.8057754904,228581.25612961862,214,181,DDoS
443,19609027.663145315,344,215,4587.873328046244,1064.23364104534,1389.2065215667576,33.78055337586434,353.89923118690365,982.342563217202,10.680238809391362,173.89463470449164,4260.638320166222,918.0035921399339,3.849935431087799,2.660127340135167,63.992219319104315,0.9936084869184433,564605.9559753247,245676.80132045408,14,21,BENIGN
53,1380239.0279674092,8839,2481,275830.48581472505,83152.33628246529,1374.6552993288467,59.61962354483702,149.82782040200647,429.93697640317663,66.77563386975336,120.39951551250942,392668.3715505234,30712.29262555343,2.432573941914171,2.1427170003456646,22.102584299958384,0.3307912903133739,624485.6561070273,197555.3949346785,335,79,DDoS
8080,28915222.943487998,88,202,7191.340785330196,845.0285147058864,1050.9357345235244,34.54608314334213,278.6514165370358,1085.8817818553575,47.85545070792002,373.5778150303491,2128.592917178932,499.41665900420446,1.398611351968546,1.9880834914470722,94.57875348346771,0.9593372932852813,913108.2870064782,428340.2642633008,17,11,BENIGN
22,1942557.66695591,11,181,6171.423508718963,2960.7225945934697,815.4949992267959,30.248464133172305,381.15194311004745,1481.508196351152,61.33166832358711,321.05390194247923,5174.722561110393,713.7958163992311,7.013348589948913,2.694647586395295,75.93589290559358,0.864717418268259,911721.672680575,182681.4302629968,1,11,BENIGN
22,24505719.48361231,80,52,3868.7890471963483,3338.1301025724006,1171.2649802923393,91.4481482080783,683.0122520522601,853.4762210865715,24.43911597209739,174.7207020329536,8557.655461038943,448.94234941783117,0.6363259877755963,3.4943232748356667,58.45781647266338,0.9457072298737468,305600.0558279254,185193.19432221042,1,46,BENIGN
8080,28580254.775369257,344,170,7376.669959271635,1455.3430204488136,648.8794451499903,16.24943488490317,601.6984999716515,250.67565251271267,11.050520565780865,195.75173641320885,3109.804633033048,122.18008888241265,8.508812086636288,1.794646823464686,38.818158207186485,0.9758776217788084,289939.4463308584,474267.4185984818,10,27,BENIGN
53,52462479.48889891,440,37,9570.351953758769,3194.425083516393,324.68892733766893,9.303597695947897,719.283388356789,235.43579986227599,43.96404646189968,366.70323775392313,8627.515199205303,663.6540812045819,9.255040687105943,4.874329733939177,14.45745963129087,0.5002203377498183,970310.204353888,398262.2858766357,1,13,BENIGN
443,1810049.1331015313,6390,1969,125467.0938682119,80254.31691933476,1007.1886203699555,94.24728749463009,359.74584096448416,367.18664240719926,45.82428490207795,150.0823464084628,148011.6435807637,22266.136778570723,7.9883523545905835,2.123854202709105,68.7477134605854,0.9290189555155005,609928.9876140796,418163.20323786046,442,164,DDoS
53,44137136.205640696,412,122,7385.506490464011,706.9698166790465,226.6755923810449,77.8904098490767,542.1034155167761,838.6567781685508,97.29350375379853,176.66984940067954,4942.15940809392,332.4969316339729,8.687592709150016,4.569403463328399,67.59605987496806,0.5269567872855925,103612.31426627439,331843.37094375433,5,25,BENIGN
