Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Bwd IAT Total,SYN Flag Count,ACK Flag Count,Label
22,39698753.529846504,346,87,8559.781152834377,3810.0699366221174,643.4134944507144,96.13648113341782,516.3336761440678,1207.2756119352027,44.97664012968454,148.05865225608693,7466.005278877513,975.6921246096745,2.564958668694577,2.503200589356403,20.542910564004266,0.24112254131708669,926106.2122379111,74843.41131764108,4,24,BENIGN
80,51597535.23938428,407,44,4310.690207470008,1649.6031699284356,213.31894678581824,14.026606368764416,699.8894233863136,757.4043343681813,42.93199542446725,283.073513228365,2936.996720456036,759.6330659510149,1.1830257932780994,0.4569884369422046,72.64272294207244,0.7269451334284754,629076.7487632005,290182.30711917195,5,29,BENIGN
8080,4436608.032348507,216,233,5220.174239991728,2565.16368322752,1389.4996160202886,84.97503137448162,367.3379971924642,367.113832980662,98.5227555921624,225.70011117568828,6542.405709257915,444.8329735803928,9.837775019809547,2.693593544901634,40.19476509261007,0.45688411704608495,582154.2253652753,121544.87370369602,20,13,BENIGN
8080,25661998.798517477,331,228,6019.445880661306,2291.743487876055,501.64412664855024,98.97628881009936,732.2088632985802,1108.1609335580065,53.928323562000244,116.42721346967167,7464.673550129279,751.5405699801053,1.2690186884760484,3.037246796381891,90.2217266475677,0.9631870825758491,127691.30260787891,127873.68082809332,17,19,BENIGN
53,32229201.651850395,122,31,9908.034305316916,1632.8090414949668,508.79482218910204,70.61279389522709,308.17026893907536,1045.6095250000449,18.03986519437728,138.0417585584745,7829.653514330705,926.64344794134,7.126342328237631,2.042184167623197,87.94299146722958,0.8829705222442519,743752.6528540347,466191.4300675028,15,34,BENIGN
8080,1115183.8424625462,4939,1463,455616.0605570869,103733.16407468484,1307.2123643090445,97.62336824944259,129.35875189504978,1051.6774842268492,79.08327377501288,79.14585165781536,339038.36157894967,38466.99586170169,9.886446471578257,4.861637265602338,22.631580806941226,0.3128237684992193,602027.7387217449,297355.4930808465,212,85,DDoS
80,5854980.506971566,243,13,6425.705688112253,3062.6969205542828,1178.3331083735388,67.21912275073784,314.0180019849322,1408.0675403621597,60.360282268443335,248.41505996771627,4395.585326125747,210.48121952582508,4.730348012524127,2.3646988806021763,28.66322934082984,0.46448017140848846,402360.673868268,239767.7263604713,17,26,BENIGN
53,12264143.268623436,173,49,6638.737063660872,858.6678338351367,1479.91056013725,53.348716398714366,738.6690005519538,257.72447690883575,55.16836976736458,350.7403748378439,8363.182464065789,415.1275083906656,7.539419854079014,3.8380789396178314,15.030045472226114,0.0898220877608254,504727.62411879894,408772.97176829784,9,18,BENIGN
443,1037899.9115864573,2292,2306,232451.9526616696,75921.96866599142,524.1177739523117,11.514894457037904,393.1949013324155,1306.1664684965888,82.88102932342737,113.53034143334251,384750.1420138444,47598.61890367728,9.655254668977369,1.831508398234749,29.136408925123916,0.33947993820837824,550379.6630654093,459527.9538866419,242,179,DDoS
443,27615236.77531428,233,25,2127.973508127565,3286.5472931347354,579.909700170637,40.89764725167644,363.43778130842315,1293.9282226987714,34.52331221758803,282.8332155607304,4819.244068918242,129.2650963983194,0.897854002743495,4.3872694482863555,35.845994615507244,0.08550624720867955,963373.1684848061,184862.98588884078,12,7,BENIGN
443,6287092.306032411,157,64,4193.875862988189,938.1390802772316,1480.8592916244986,57.98484841701058,212.87111619358254,634.5021969177392,76.24021293582224,114.0898585171091,3122.436596638401,812.7511976888705,6.3562442381640665,3.9395947952013004,49.19018842330011,0.5094315687857389,752388.2180169837,397248.1736390986,19,12,BENIGN
22,22451226.28030187,364,214,7256.177484538683,1576.4383511304998,1372.3539566936442,39.07943925767785,401.77456843517234,172.73431200567245,7.290947385756851,240.18199209392913,7347.277506801608,538.7434956990775,9.387421079950252,2.358761142622676,25.214189185042642,0.5972255815806199,880418.0999588884,237575.8150037577,14,40,BENIGN
80,44933992.44823041,111,77,5491.655386149183,4668.303578704387,108.02684296023952,79.90740375352065,417.4698885209093,379.50971566697166,87.97368223161047,369.5771244671156,3051.381655116946,165.11533392239775,4.82887992379305,1.605733621637763,93.3860656243543,0.31587344700137443,320675.1462697283,85517.7396738376,18,7,BENIGN
8080,6893086.545041924,40,112,6269.438572494441,4377.824960779095,967.1309588838604,17.545727319247717,407.7713645369314,352.9486989357403,63.22548165064363,216.51683500487002,2298.6330633137513,672.6163492813907,0.8364849221203647,2.7766134722450415,80.43579153133544,0.9628786769389575,484301.3493778164,474693.2511161377,4,7,BENIGN
53,1395912.002502806,1287,1733,364855.63456532574,205504.82737787504,1329.8274881403531,33.16703345364783,332.62011674730127,116.7695846904897,30.457223126274535,78.79933945449376,330661.15171382786,22701.387523955484,0.6728124890650824,3.85054085368586,92.46424034321655,0.8397990267185989,871728.2458945166,153934.8990159426,174,55,DDoS
8080,34786241.28583338,301,177,2936.8807735593746,838.4953522999945,417.67923428308006,9.876953809777323,213.02409446249456,1474.3284098123959,81.47634852457118,283.99973780685207,5718.617100000885,903.0215024338692,9.185270920995933,2.102377979626601,66.68430846090018,0.8377128688096177,409334.53404714464,92766.81884141057,7,20,BENIGN
53,8843072.236205038,454,91,9030.754711291444,4851.424012723298,1496.6262995953,51.17430903350637,376.2541579842493,530.0657756013584,79.09653702592577,301.79842026245205,3964.6239148609648,417.7505435001351,7.194219048447608,1.1783935350961383,12.518062877900896,0.11961856419913248,591917.3830308153,172490.70714611706,0,29,BENIGN
53,411001.67151545454,4789,3840,346239.6224320531,223011.95749259758,562.7267562085237,37.650708369204125,410.80032086083185,1467.5979231336928,40.538887438688654,155.43553912495744,211470.93382295955,36512.59379808446,2.6910118568591845,4.9691316883213625,74.7572209804001,0.5312530158759271,646206.8706907942,460215.3585878682,432,154,DDoS
8080,29378087.57727462,219,214,3033.3281294861827,2337.03695199952,475.8316601463702,26.99394245753146,464.52528578499357,203.35206528051253,86.76300571892025,141.6737909618181,9906.798768931714,933.8289719642958,3.6144514971381096,2.9883281576462344,74.87048375225227,0.6656454226607571,519975.81674526434,54010.536563484784,3,9,BENIGN
8080,43638548.78571886,480,38,1309.762201060231,3357.786332934272,1354.591904802131,9.270267447832857,389.4199632956618,144.4319072916141,78.18708335765302,309.41504939275296,8281.050784654242,730.9782540792804,5.285821443161666,2.023161893242375,97.38925783925872,0.8104802157713317,646518.6936851713,440705.4876159247,10,12,BENIGN
443,156610.94723264533,4702,4834,151868.17449912353,51827.20179675282,400.8743916596044,34.27336411404352,102.14931059753307,285.71220814130703,38.263390343681316,156.66070927464642,246088.82183257057,48004.14446665697,9.444315913492858,2.639866407754277,35.56053457054355,0.16899877848238293,143708.8923396992,353205.1470095586,260,86,DDoS
