Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Bwd IAT Total,SYN Flag Count,ACK Flag Count,Label
53,35256869.34228761,272,9,4153.402498754522,3054.0667020236583,1043.6392594727754,41.270343237159366,280.0152769053039,564.256192183652,4.791919271087519,267.60328249919826,6572.101928736579,122.78403353265304,0.18585045349641371,2.0113245721620223,96.23268216796227,0.7405464130215526,834264.7626554365,372506.72646570776,8,47,BENIGN
80,56913910.44892543,37,53,6720.725765476501,1187.1197005705108,299.40241452157863,71.11181059450196,625.8374982496916,1062.842303313023,50.266550343147955,308.958790525517,5116.826809912758,179.75353271691978,8.027773510384739,2.4875355598933258,41.61915500663349,0.3802268407351192,170171.23619910135,306632.0477900411,0,17,BENIGN
8080,55363048.45440527,127,170,6556.452911731792,1904.005100687639,386.9963211981093,32.52951983511192,664.7880942672655,883.3465649599254,72.02975219200111,189.3713414971031,5463.744663606643,696.9023983826416,5.381506453294292,0.1261794433778244,64.79485523557436,0.5214681921396231,510987.3553671406,300960.00996829034,6,11,BENIGN
22,35000550.69756078,222,103,6595.119774338087,4060.480878943625,1023.9632996912901,21.116778387920554,280.0407190099875,380.66877802874177,88.37267215752432,188.95236688493924,3446.141112399864,734.8281194301472,4.754806876001519,0.38361090587771285,10.269806601647177,0.25288174301812366,960010.0638518115,162044.80989221326,12,13,BENIGN
8080,1486484.1361773212,169,134,9680.15471895164,601.9577718547587,1400.2708904494586,51.144099355843075,513.6100264994516,746.1075755107547,75.36930490134745,324.9054465853651,4190.111391232656,274.79012358760366,7.414223159583954,1.026913676457761,29.982647856815934,0.3759017796765305,920817.9717511927,435843.9420914123,9,44,BENIGN
443,1658243.17786623,2752,1293,120667.53253512284,152626.94330314622,968.8546475715324,74.78461243875678,144.5062808027335,1050.9760154113878,86.43291315946601,56.88178015002669,179760.2787335645,33476.1933407505,5.701741006458607,1.565305346134555,80.36567752924226,0.8662157956686946,782711.3591741031,77296.14204613602,253,59,DDoS
80,19872177.56014526,492,209,7975.662917581635,2238.7232598769315,1129.6404777928187,50.303997167990055,420.9381941415315,662.4687753113161,8.665928142353806,162.24862938088785,5531.069560476089,340.13823699505673,9.919823862397125,1.396844087646664,16.769886013693903,0.3295325907614412,511539.52094664006,83072.5212083685,8,26,BENIGN
8080,55357196.812232874,415,10,1067.1654910846332,1035.2973639928377,1104.6812544470454,68.85874710117258,640.7492805355578,1143.9864349917436,80.50696102324605,216.2281152831169,7428.29671064163,535.8784224152372,0.6383488193137189,1.9592976632688994,59.894720884937264,0.857633140420672,778552.432168925,225895.61732928493,15,31,BENIGN
8080,52099585.88665513,390,83,3801.061334240232,1800.4563346071836,171.24191802768792,7.829350591556472,328.51968008610646,796.4088124411817,81.2905377022092,188.54615985548384,7774.843650785524,506.42872920302847,2.4536450989157994,0.21925952952505184,41.747272635188864,0.5119524660962796,298430.7370689135,126161.97276070852,0,32,BENIGN
53,1462351.8116630453,2628,3870,325619.5162001925,223979.76637872943,370.9874210669886,69.5557206653655,461.5781396192419,1173.2585570696679,3.1899586351205156,146.37008054930382,293656.13687577436,42756.07911675732,6.617780248853463,4.341199696664922,69.54018544515803,0.4321682703239269,617307.5802156494,274749.7584431098,370,128,DDoS
