Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Bwd IAT Total,SYN Flag Count,ACK Flag Count,Label
22,524806.135384752,6998,1498,191870.70955502434,97302.01324701332,898.8274642916218,6.979192409829094,290.9554137868891,193.51651726477658,31.812956664273294,126.11057096115653,436728.23616998334,49323.16169614807,5.875790824983277,1.4452031024623653,48.259884122488906,0.5272240878642701,327772.71678034106,309299.6991646894,466,177,DDoS
8080,973592.0607252889,7272,4047,414123.25657701585,220581.14100907813,1448.5758888027826,67.91938310963403,492.8199529130159,1015.0909352202618,1.9519454032649652,149.54264122279017,363335.34297948435,32901.04811027134,3.0726366625449066,4.875878356078861,50.54568045885296,0.5766672374344651,712753.746845218,322949.18827124935,262,184,DDoS
8080,12641195.567078646,413,140,1122.6444908694255,4395.889156725897,1246.301421860703,91.89024473683497,280.75179168940275,418.74913939560656,60.70835821221896,137.0057822094815,2896.060545713322,934.7346892616009,7.7264076429070805,2.6041366759180624,50.21058205103806,0.8023596349660126,382762.3335234092,413494.65307801403,14,45,BENIGN
8080,25438102.978090066,120,158,8814.112365503664,4866.136248013512,1390.6878504211843,81.93865875284038,527.0173252806946,1061.6038289143798,36.23253617442702,164.07778136417073,6787.2862917197945,310.6938556569372,4.411425176037204,3.8410556604711954,98.29637668431954,0.6307468967603665,113429.82459952371,304556.31612714444,2,50,BENIGN
80,573530.5236885948,2572,2099,268116.5726526361,95647.21259586196,1136.1620989796609,31.72717156963237,319.4508071337224,1264.7620617066063,33.82024374084782,161.23728762088803,459145.37702690595,31711.38909579629,3.584269155949815,0.33880621392925375,49.48376516573299,0.14206372686625343,469450.69792419043,436078.9931997491,267,171,DDoS
443,1063227.8775240085,5217,1483,238255.90818309935,64016.658123282476,1124.249256527443,78.60151962940574,467.741432096507,321.6890214472842,65.08947403759933,146.16528742391654,400581.3654196636,47075.89766220497,2.8118565852199633,2.5093796285389596,25.64501429242509,0.7682207601254413,660781.7517796269,387947.3306528142,460,80,DDoS
80,5144413.510729484,30,34,9491.057743266569,3740.411035939766,167.68270551688062,65.1538347125944,492.70348291764503,342.0571734768994,32.40002582164482,243.6233218010415,2172.9792001058076,811.270302862785,7.0880281539166745,3.3833683675493202,54.93040913423711,0.9356847813249864,365912.4573038651,103644.59841827455,8,10,BENIGN
53,245277.34967353215,2701,4997,434746.0131556225,145793.8516706824,1303.6488735291582,12.603774847747529,418.6433758606671,577.9388391770818,95.51416425774336,176.5152892765558,489160.6775204799,26392.63288052569,4.3299688510903795,3.410056630683182,32.553876591149425,0.6438475898145267,475142.8011366962,463621.8929997736,405,108,DDoS
22,606453.7489811953,2798,2857,214875.61479640927,243805.2209503607,770.0522120210721,56.41787904409081,399.5435663206289,912.1571690318459,27.927572979406,142.6830968178421,375806.27335965144,17226.27500804044,0.42084454887697875,2.9092871681821353,38.07192943447196,0.6185945162929258,887122.6871931761,168026.0060050831,193,168,DDoS
80,1051373.9245231668,2615,1663,360108.9731806414,149563.79263750935,130.59850125141185,7.682051984963955,380.2607096878133,1349.140098259466,84.23726084516385,142.72183180770156,498172.50445570506,47076.62261655085,6.673976563586432,4.668480167637902,78.99792233226971,0.07895890176682246,238699.85478222728,343210.5140185447,429,115,DDoS
